               0       1       2       3       4       5       6       7       8       9      10      11      12      13      14      15      16      17      18      19      20      21      22      23      24      25      26      27      28
       0 1:0.498 2:0.505 1:0.502 1:0.500 1:0.505 1:0.500 1:0.508 2:0.498 1:0.509 1:0.532 1:0.595 2:0.697 2:0.567 1:0.500 1:0.667 1:0.778 1:0.333     n/a     n/a     n/a     n/a     n/a     n/a     n/a     n/a     n/a     n/a     n/a     n/a
       1     n/a 1:0.484 1:0.499 1:0.520 2:0.503 2:0.540 2:0.504 1:0.501 1:0.512 1:0.510 2:0.479 1:0.520 1:0.488 1:0.520 2:0.515 2:0.508 1:0.532 2:0.489 2:0.488 2:0.615 1:0.621 2:0.667 2:0.462 2:0.750 2:0.800     n/a     n/a     n/a     n/a
       2     n/a 1:0.496 1:0.490 1:0.511 2:0.524 1:0.516 2:0.499 1:0.501 2:0.499 1:0.516 2:0.519 1:0.545 1:0.490 1:0.544 1:0.516 1:0.495 1:0.540 1:0.598 1:0.462 2:0.541 2:0.536 1:0.571 2:0.604 1:0.512 2:0.692 1:0.727 2:0.667 2:0.833 2:1.000
       3     n/a 1:0.505 1:0.513 1:0.507 1:0.504 2:0.500 1:0.497 2:0.512 2:0.501 2:0.505 2:0.505 1:0.504 2:0.505 1:0.530 1:0.535 2:0.513 1:0.543 1:0.563 2:0.530 1:0.600 1:0.585 2:0.476 2:0.533 1:0.509 2:0.609 1:0.667 1:0.682 2:0.840 1:0.800
       4     n/a 2:0.536 2:0.510 1:0.499 1:0.503 1:0.499 1:0.511 2:0.484 1:0.508 2:0.496 2:0.492 1:0.510 1:0.508 2:0.501 1:0.514 1:0.494 2:0.473 1:0.481 1:0.541 1:0.531 1:0.549 2:0.494 2:0.496 1:0.547 1:0.552 1:0.718 1:0.778 1:0.862 1:0.833
       5     n/a 1:0.502 1:0.497 1:0.509 1:0.506 1:0.498 1:0.505 1:0.507 1:0.484 1:0.508 2:0.490 1:0.506 2:0.508 2:0.522 2:0.521 2:0.508 2:0.533 2:0.493 1:0.498 1:0.531 2:0.564 1:0.576 1:0.476 2:0.451 2:0.538 2:0.645 1:0.774 1:0.738 2:0.850
       6     n/a 2:0.488 2:0.485 1:0.496 2:0.530 1:0.495 2:0.506 2:0.502 2:0.502 1:0.498 1:0.499 1:0.503 2:0.500 2:0.511 2:0.503 2:0.490 1:0.492 1:0.516 1:0.499 2:0.543 1:0.523 2:0.541 1:0.491 1:0.476 1:0.540 1:0.580 1:0.670 1:0.813 1:0.810
       7     n/a 1:0.511 1:0.529 2:0.532 2:0.514 1:0.490 2:0.538 1:0.488 2:0.513 1:0.501 1:0.507 1:0.504 1:0.513 2:0.524 1:0.512 1:0.498 1:0.487 1:0.498 1:0.503 1:0.492 1:0.529 1:0.513 2:0.477 1:0.441 2:0.568 1:0.623 1:0.677 1:0.723 1:0.770
       8     n/a 1:0.498 2:0.514 1:0.498 2:0.508 1:0.502 1:0.516 1:0.497 1:0.504 2:0.480 1:0.503 2:0.535 2:0.506 1:0.520 2:0.519 1:0.487 2:0.497 1:0.487 2:0.523 2:0.518 1:0.523 1:0.535 1:0.467 1:0.430 1:0.539 1:0.577 1:0.674 1:0.686 2:0.729
       9     n/a 2:0.667 1:0.471 2:0.470 1:0.495 1:0.523 2:0.478 2:0.525 2:0.506 2:0.496 2:0.519 2:0.538 2:0.522 2:0.518 2:0.503 1:0.492 1:0.484 1:0.508 2:0.519 1:0.521 2:0.529 1:0.513 1:0.486 1:0.456 1:0.517 2:0.594 2:0.617 1:0.720 1:0.762
