               0       1       2       3       4       5       6       7       8       9      10      11      12      13      14      15      16      17
       0 2:0.557 2:0.600 1:0.625 1:0.476 2:0.675 1:0.485 3:0.543 2:0.471 2:0.494 3:0.424 2:0.520 2:0.500 3:0.471 3:0.500 1:1.000 1:1.000     n/a 3:1.000
       1     n/a     n/a 1:0.000     n/a 3:0.000     n/a 2:1.000 3:0.000 3:1.000 1:1.000 1:0.500 2:1.000 2:0.000 3:1.000 1:1.000     n/a 3:0.500 1:1.000
       2     n/a 2:1.000 2:0.000 1:1.000 1:0.500 3:1.000 1:0.333 1:0.500 3:0.833 1:1.000 3:1.000 1:1.000 2:1.000 3:0.500 3:1.000 1:1.000 2:1.000 1:1.000
       3     n/a 3:1.000 1:0.000 1:1.000 3:1.000 2:1.000 3:0.556 1:0.000 2:0.667 2:1.000 3:0.500 3:1.000 2:1.000 3:1.000 3:1.000 2:1.000 3:0.750 1:1.000
       4     n/a 2:0.000 3:1.000 3:1.000 2:0.600 2:0.500 2:0.667 1:0.600 1:0.500 3:1.000 3:1.000 1:1.000 3:0.750 3:0.667 3:0.667 1:0.800 2:1.000 3:1.000
       5     n/a 1:0.714 3:0.667 1:1.000 1:0.750 2:0.750 3:0.444 3:1.000 3:1.000 3:0.800 3:0.500 2:0.500 2:0.750 1:0.333 1:1.000 2:0.500 3:0.857 3:1.000
       6     n/a     n/a 1:1.000 3:1.000 3:0.500 1:0.667 3:0.875 1:0.500 1:0.727 1:0.625 3:0.625 3:0.588 1:0.500 2:0.700 2:0.800 2:0.571 2:1.000 1:0.714
       7     n/a 2:1.000 2:1.000 2:0.750 3:0.778 2:1.000 3:0.889 3:0.500 2:0.500 1:0.750 3:0.818 2:0.500 1:0.700 1:0.667 3:1.000 1:1.000 2:1.000 2:0.800
       8     n/a 3:1.000 1:1.000 1:1.000 3:1.000 3:1.000 3:0.750 1:0.500 1:0.700 1:0.556 3:0.800 2:1.000 1:0.667 3:0.875 3:0.600 2:1.000 3:1.000 1:1.000
       9     n/a 1:1.000 1:1.000 3:0.800 3:1.000 1:0.571 2:1.000 2:0.600 3:0.500 2:0.444 3:0.667 1:0.600 1:0.778 2:1.000 3:0.750 1:0.833 3:0.909 2:1.000
      10     n/a 1:1.000 3:1.000 2:1.000 2:0.833 3:1.000 1:0.714 2:0.778 2:1.000 1:0.500 1:1.000 1:1.000 2:0.400 2:0.800 2:0.727 2:1.000 2:0.800 1:1.000
      11     n/a 3:0.333 2:1.000 2:0.500 1:1.000 2:0.667 2:1.000 2:0.714 2:0.750 1:0.600 3:1.000 2:1.000 2:0.714 2:0.833 2:0.800 2:0.571 1:0.800 2:0.714
      12     n/a 1:0.000 2:1.000     n/a 2:1.000 1:1.000 1:1.000 2:0.500 2:0.333 1:0.500 2:0.857 1:0.750 2:0.750 2:0.667 2:0.200 1:0.636 2:0.909 1:0.857
      13     n/a     n/a     n/a 2:1.000 3:1.000     n/a 1:1.000 2:0.667 1:0.000 2:0.667 2:0.750 1:0.800 3:0.750 2:0.667 1:1.000 1:1.000 2:0.833 1:0.750
      14     n/a     n/a 2:0.000 3:0.000 3:0.000 1:1.000 1:1.000 1:1.000 1:0.667 1:1.000 1:0.667 2:0.667 1:1.000 2:0.571 1:1.000 2:0.600 1:1.000 1:0.900
      15     n/a     n/a     n/a     n/a 2:0.000 1:1.000 1:1.000 3:0.333 1:0.000 2:0.000 2:0.500 2:0.750 1:1.000 1:0.857 1:0.500 1:0.400 1:1.000 1:1.000
      16     n/a     n/a 1:1.000 3:0.000     n/a     n/a 2:1.000 1:1.000 1:1.000 1:1.000 1:0.857 1:0.667 1:0.750 1:0.000 1:0.333 1:1.000 1:0.750 1:0.714
      17     n/a 1:1.000     n/a 1:0.000     n/a 1:1.000 2:0.000 3:0.000 1:1.000 3:1.000 1:1.000 1:0.000 1:1.000 1:0.500 2:0.333 1:0.600 1:0.800 1:0.667
