0	3:0.568	3:0.605	1:0.710	2:0.520	1:0.523	3:0.525	3:0.488	3:0.513	1:0.412	3:0.536	1:0.556	2:0.588	1:0.417	2:0.533	1:0.833	2:0.571	1:0.500	3:1.000
1	n/a	2:1.000	1:1.000	2:0.500	2:1.000	2:0.500	2:0.667	1:0.500	2:0.667	1:0.000	1:1.000	3:1.000	1:1.000	3:0.667	1:1.000	2:1.000	2:0.500	3:1.000
2	n/a	1:0.000	3:0.250	1:1.000	1:0.500	2:0.600	2:0.750	2:0.500	2:0.500	3:0.667	2:0.571	2:1.000	3:0.667	3:0.800	3:0.500	1:1.000	1:1.000	1:1.000
3	n/a	2:1.000	1:0.500	1:1.000	2:0.571	3:0.750	1:0.625	1:1.000	3:0.667	3:0.714	1:0.600	1:0.400	3:0.667	3:1.000	3:1.000	3:0.600	2:1.000	3:0.667
4	n/a	2:1.000	2:0.500	2:0.500	1:0.889	3:0.429	1:0.750	1:0.667	1:0.500	2:0.750	3:0.750	3:0.500	1:0.429	1:0.667	2:0.667	1:1.000	1:0.500	2:1.000
5	n/a	1:1.000	2:1.000	2:1.000	3:1.000	2:0.750	3:0.667	3:0.778	2:0.400	3:0.667	2:0.667	1:0.500	2:0.500	3:0.857	1:0.600	2:1.000	1:0.714	1:1.000
6	n/a	1:1.000	1:1.000	1:0.500	2:0.727	3:0.857	1:0.667	3:0.500	3:0.545	3:0.889	2:0.500	1:0.750	2:0.667	3:0.500	3:0.800	1:0.750	3:1.000	2:0.800
7	n/a	1:0.000	1:1.000	1:1.000	3:1.000	1:0.500	3:0.833	2:0.667	1:0.444	1:0.500	2:0.714	1:0.667	3:0.750	3:0.667	1:0.500	1:0.857	2:1.000	3:0.667
8	n/a	1:1.000	1:0.667	1:0.750	2:0.800	3:0.800	2:1.000	1:1.000	1:0.667	3:1.000	1:0.800	3:0.778	1:0.250	2:1.000	2:1.000	2:0.750	2:0.714	2:1.000
9	n/a	2:0.750	1:1.000	1:1.000	3:1.000	1:0.750	3:1.000	2:1.000	2:0.750	3:0.667	1:0.857	1:0.444	1:0.429	2:0.667	3:0.750	1:0.667	2:0.800	2:0.667
10	n/a	1:0.000	3:0.500	2:0.500	1:1.000	1:0.600	3:0.500	1:1.000	1:0.800	3:1.000	3:0.833	1:0.444	2:0.636	1:0.333	3:0.400	2:1.000	1:0.750	3:0.600
11	n/a	3:1.000	3:1.000	1:1.000	2:1.000	2:0.750	2:1.000	2:0.667	3:0.667	1:0.000	1:0.600	2:0.714	2:0.600	2:0.800	1:1.000	2:0.833	1:0.750	2:0.778
12	n/a	3:1.000	2:1.000	2:0.500	3:0.750	2:0.800	2:1.000	2:1.000	1:0.800	1:1.000	2:0.833	2:0.833	3:1.000	2:0.500	1:0.875	1:1.000	2:0.800	2:1.000
13	n/a	1:0.500	n/a	1:1.000	1:0.333	2:1.000	1:0.400	1:1.000	1:0.667	3:1.000	2:0.571	2:0.750	1:1.000	2:0.800	1:0.500	1:0.833	1:1.000	2:0.667
14	n/a	1:0.000	2:1.000	1:0.500	2:0.667	3:1.000	1:0.667	1:1.000	2:1.000	1:1.000	1:1.000	1:0.714	2:0.667	2:0.667	2:0.571	2:0.833	1:1.000	2:1.000
15	n/a	n/a	2:0.500	1:0.500	1:1.000	1:1.000	1:1.000	1:1.000	1:0.000	1:1.000	1:0.500	1:0.714	1:0.000	1:0.500	1:1.000	1:0.750	1:0.667	1:1.000
16	n/a	n/a	n/a	n/a	1:0.000	1:1.000	n/a	1:0.500	1:0.714	1:0.500	1:1.000	1:0.750	1:0.833	1:1.000	1:0.600	1:0.800	1:0.600	1:0.800
17	n/a	n/a	n/a	1:0.000	1:1.000	1:0.000	2:1.000	1:1.000	1:1.000	1:0.800	1:0.750	1:0.000	1:0.250	1:1.000	1:0.600	1:0.800	1:1.000	1:0.667
